kind,eventType,ref,scene,data
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8097] _id=6a9c906b485cab4c954015a0 ts=2026-09-05T21:58:02.3960000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:02.3960000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7987] _id=6a9c9075485cab4c95401684 ts=2026-09-05T21:58:10.7660000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:10.7660000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7986] _id=6a9c9075485cab4c95401686 ts=2026-09-05T21:58:10.7660000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:10.7660000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7946] _id=6a9c9078485cab4c954016ca ts=2026-09-05T21:58:13.4680000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:13.4680000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7945] _id=6a9c9078485cab4c954016cc ts=2026-09-05T21:58:13.4680000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:13.4680000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7944] _id=6a9c9078485cab4c954016d0 ts=2026-09-05T21:58:13.4680000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:13.4680000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7918] _id=6a9c9079485cab4c954016fe ts=2026-09-05T21:58:15.0360000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:15.0360000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7920] _id=6a9c907a485cab4c95401702 ts=2026-09-05T21:58:15.0360000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:15.0360000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7915] _id=6a9c907a485cab4c95401706 ts=2026-09-05T21:58:15.0690000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:15.0690000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7914] _id=6a9c907a485cab4c95401708 ts=2026-09-05T21:58:15.0690000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:15.0690000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7907] _id=6a9c907a485cab4c95401710 ts=2026-09-05T21:58:15.5350000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:15.5350000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7908] _id=6a9c907a485cab4c95401712 ts=2026-09-05T21:58:15.5350000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:15.5350000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7909] _id=6a9c907a485cab4c95401716 ts=2026-09-05T21:58:15.5350000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:15.5350000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7906] _id=6a9c907a485cab4c9540171a ts=2026-09-05T21:58:15.5680000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:15.5680000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7904] _id=6a9c907a485cab4c9540171c ts=2026-09-05T21:58:15.5680000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:15.5680000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7826] _id=6a9c9083485cab4c954017b4 ts=2026-09-05T21:58:26.1740000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:26.1740000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[7825] _id=6a9c9083485cab4c954017b6 ts=2026-09-05T21:58:26.1740000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:58:26.1740000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[5815] _id=6a9c998c485cab4c95402772 ts=2026-09-05T22:36:59.7450000Z,Unit 3 Dungeon Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Piece 3"", ""timestamp"": ""2026-09-05T22:36:59.7450000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[5814] _id=6a9c998c485cab4c95402774 ts=2026-09-05T22:36:59.7450000Z,Unit 3 Dungeon Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Piece 3"", ""timestamp"": ""2026-09-05T22:36:59.7450000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[5723] _id=6a9c99a4485cab4c95402828 ts=2026-09-05T22:37:23.8740000Z,Unit 3 Dungeon Dev,"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Piece 2"", ""timestamp"": ""2026-09-05T22:37:23.8740000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[5724] _id=6a9c99a4485cab4c9540282c ts=2026-09-05T22:37:23.8740000Z,Unit 3 Dungeon Dev,"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Piece 2"", ""timestamp"": ""2026-09-05T22:37:23.8740000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4566] _id=6a9c9ef6485cab4c95403138 ts=2026-09-05T23:00:02.7480000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Piece Bedrock"", ""timestamp"": ""2026-09-05T23:00:05.4140000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4567] _id=6a9c9ef6485cab4c9540313a ts=2026-09-05T23:00:02.7480000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Piece Bedrock"", ""timestamp"": ""2026-09-05T23:00:05.4140000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4547] _id=6a9c9ef8485cab4c95403166 ts=2026-09-05T23:00:04.8160000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Piece Bedrock"", ""timestamp"": ""2026-09-05T23:00:05.4140000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4548] _id=6a9c9ef8485cab4c95403168 ts=2026-09-05T23:00:04.8160000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Piece Bedrock"", ""timestamp"": ""2026-09-05T23:00:05.4140000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4544] _id=6a9c9ef8485cab4c9540316e ts=2026-09-05T23:00:04.9150000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Piece Bedrock"", ""timestamp"": ""2026-09-05T23:00:05.4140000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4543] _id=6a9c9ef8485cab4c95403170 ts=2026-09-05T23:00:04.9150000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Piece Bedrock"", ""timestamp"": ""2026-09-05T23:00:05.4140000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4541] _id=6a9c9ef9485cab4c95403174 ts=2026-09-05T23:00:05.0140000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Piece Bedrock"", ""timestamp"": ""2026-09-05T23:00:05.4140000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4540] _id=6a9c9ef9485cab4c95403176 ts=2026-09-05T23:00:05.0140000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Piece Bedrock"", ""timestamp"": ""2026-09-05T23:00:05.4140000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4485] _id=6a9c9eff485cab4c954031da ts=2026-09-05T23:00:13.7200000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Piece Bedrock"", ""timestamp"": ""2026-09-05T23:00:13.8180000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4484] _id=6a9c9eff485cab4c954031dc ts=2026-09-05T23:00:13.7200000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Piece Bedrock"", ""timestamp"": ""2026-09-05T23:00:13.8180000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4453] _id=6a9c9f04485cab4c9540321c ts=2026-09-05T23:00:19.2890000Z,Unit 4 Dev,"{""actionType"": ""BecameVisible"", ""pieceId"": ""Soil Infiltration Puzzle Slot Gravel"", ""timestamp"": ""2026-09-05T23:00:19.2890000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4454] _id=6a9c9f04485cab4c9540321e ts=2026-09-05T23:00:19.2890000Z,Unit 4 Dev,"{""actionType"": ""BecameVisible"", ""pieceId"": ""Soil Infiltration Puzzle Slot Gravel"", ""timestamp"": ""2026-09-05T23:00:19.2890000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4274] _id=6a9c9f1d485cab4c95403386 ts=2026-09-05T23:00:43.4670000Z,Unit 4 Dev,"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Soil Infiltration Puzzle Piece Gravel"", ""timestamp"": ""2026-09-05T23:00:43.4670000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4275] _id=6a9c9f1d485cab4c95403388 ts=2026-09-05T23:00:43.4670000Z,Unit 4 Dev,"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Soil Infiltration Puzzle Piece Gravel"", ""timestamp"": ""2026-09-05T23:00:43.4670000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4149] _id=6a9c9f2e485cab4c9540347a ts=2026-09-05T23:01:01.0070000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Slot Bedrock"", ""timestamp"": ""2026-09-05T23:01:01.1070000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[4148] _id=6a9c9f2e485cab4c9540347c ts=2026-09-05T23:01:01.0070000Z,Unit 4 Dev,"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Soil Infiltration Puzzle Slot Bedrock"", ""timestamp"": ""2026-09-05T23:01:01.1070000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[3999] _id=6a9c9f46485cab4c954035aa ts=2026-09-05T23:01:25.0190000Z,Unit 4 Dev,"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Soil Infiltration Puzzle Slot Bedrock"", ""timestamp"": ""2026-09-05T23:01:25.0190000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[3998] _id=6a9c9f46485cab4c954035ac ts=2026-09-05T23:01:25.0190000Z,Unit 4 Dev,"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Soil Infiltration Puzzle Slot Bedrock"", ""timestamp"": ""2026-09-05T23:01:25.0190000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[1710] _id=6a9ca8a7485cab4c95404798 ts=2026-09-05T23:41:26.2440000Z,Unit 5 Dev - Dungeon,"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Evaporation Puzzle Piece D"", ""timestamp"": ""2026-09-05T23:41:26.2440000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[1709] _id=6a9ca8a7485cab4c9540479a ts=2026-09-05T23:41:26.2440000Z,Unit 5 Dev - Dungeon,"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Evaporation Puzzle Piece D"", ""timestamp"": ""2026-09-05T23:41:26.2440000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[1569] _id=6a9ca8c9485cab4c954048aa ts=2026-09-05T23:42:00.9920000Z,Unit 5 Dev - Dungeon,"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Evaporation Puzzle Slot B"", ""timestamp"": ""2026-09-05T23:42:00.9920000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[1568] _id=6a9ca8c9485cab4c954048ac ts=2026-09-05T23:42:00.9920000Z,Unit 5 Dev - Dungeon,"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Evaporation Puzzle Slot B"", ""timestamp"": ""2026-09-05T23:42:00.9920000Z""}"
near,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[10423] _id=6a9c8bb5485cab4c95400380 ts=2026-09-05T21:37:51.8710000Z ~ wenyi090326-3.stratalog.logdata.json[10422] _id=6a9c8bb5485cab4c95400382 ts=2026-09-05T21:37:52.3050000Z (434ms),Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Topography Slot 2"", ""timestamp"": ""2026-09-05T21:37:52.3050000Z""}"
near,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[10356] _id=6a9c8bba485cab4c954003f6 ts=2026-09-05T21:38:00.0420000Z ~ wenyi090326-3.stratalog.logdata.json[10355] _id=6a9c8bba485cab4c954003f8 ts=2026-09-05T21:38:00.1770000Z (135ms),Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Topography Piece 6"", ""timestamp"": ""2026-09-05T21:38:00.4420000Z""}"
near,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[10355] _id=6a9c8bba485cab4c954003f8 ts=2026-09-05T21:38:00.1770000Z ~ wenyi090326-3.stratalog.logdata.json[10354] _id=6a9c8bba485cab4c954003fa ts=2026-09-05T21:38:00.2420000Z (65ms),Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Topography Piece 6"", ""timestamp"": ""2026-09-05T21:38:00.4420000Z""}"
near,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[10354] _id=6a9c8bba485cab4c954003fa ts=2026-09-05T21:38:00.2420000Z ~ wenyi090326-3.stratalog.logdata.json[10353] _id=6a9c8bba485cab4c954003fc ts=2026-09-05T21:38:00.4420000Z (200ms),Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Topography Piece 6"", ""timestamp"": ""2026-09-05T21:38:00.4420000Z""}"
near,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[10235] _id=6a9c8bc5485cab4c954004e6 ts=2026-09-05T21:38:11.0820000Z ~ wenyi090326-3.stratalog.logdata.json[10234] _id=6a9c8bc5485cab4c954004e8 ts=2026-09-05T21:38:11.3160000Z (234ms),Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Topography Piece 6"", ""timestamp"": ""2026-09-05T21:38:11.3160000Z""}"
near,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[10072] _id=6a9c8bd6485cab4c95400632 ts=2026-09-05T21:38:28.9910000Z ~ wenyi090326-3.stratalog.logdata.json[10071] _id=6a9c8bd6485cab4c95400634 ts=2026-09-05T21:38:29.0560000Z (65ms),Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Topography Slot 2"", ""timestamp"": ""2026-09-05T21:38:29.0560000Z""}"
near,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[10056] _id=6a9c8bd7485cab4c9540064e ts=2026-09-05T21:38:29.8240000Z ~ wenyi090326-3.stratalog.logdata.json[10055] _id=6a9c8bd7485cab4c95400650 ts=2026-09-05T21:38:29.8570000Z (33ms),Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Topography Piece 4"", ""timestamp"": ""2026-09-05T21:38:29.8570000Z""}"
