kind,eventType,ref,scene,data
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8956] _id=6a9c8fda485cab4c95400ee8 ts=2026-09-05T21:55:36.4680000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:36.4680000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8896] _id=6a9c8fde485cab4c95400f5a ts=2026-09-05T21:55:41.0670000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:41.0670000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8897] _id=6a9c8fde485cab4c95400f5e ts=2026-09-05T21:55:41.0670000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:41.0670000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8864] _id=6a9c8fe1485cab4c95400f9e ts=2026-09-05T21:55:44.3680000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:44.3680000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8865] _id=6a9c8fe1485cab4c95400fa0 ts=2026-09-05T21:55:44.3680000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:44.3680000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8844] _id=6a9c8fe3485cab4c95400fc4 ts=2026-09-05T21:55:45.7690000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:45.7690000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8846] _id=6a9c8fe3485cab4c95400fc6 ts=2026-09-05T21:55:45.7690000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:45.7690000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8843] _id=6a9c8fe3485cab4c95400fc8 ts=2026-09-05T21:55:45.8020000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:45.8020000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8842] _id=6a9c8fe3485cab4c95400fca ts=2026-09-05T21:55:45.8020000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:45.8020000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8818] _id=6a9c8fe6485cab4c95400ffc ts=2026-09-05T21:55:48.1370000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:48.1370000Z""}"
