eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:82:33,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:53.3600000Z,2026-08-25T18:27:53.3600000Z,6a8ddea8485cab4c953c1ec8,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:34,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:53.8270000Z,2026-08-25T18:27:53.8270000Z,6a8ddea8485cab4c953c1eca,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:35,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:54.2940000Z,2026-08-25T18:27:54.2940000Z,6a8ddea9485cab4c953c1ecc,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:36,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:54.7110000Z,2026-08-25T18:27:54.7110000Z,6a8ddea9485cab4c953c1ece,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:37,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:58.3960000Z,2026-08-25T18:27:58.3960000Z,6a8ddead485cab4c953c1ed0,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:39,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:59.1130000Z,2026-08-25T18:27:59.1130000Z,6a8ddeae485cab4c953c1ed2,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:40,dialogue,1,DialogueEvent,Unit 4 Dev,2026-08-25T18:27:59.4980000Z,2026-08-25T18:27:59.4980000Z,6a8ddeae485cab4c953c1ed4,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:41,dialogue,1,DialogueEvent,Unit 4 Dev - Anderson Base,2026-08-25T18:28:14.0990000Z,2026-08-25T18:28:14.0990000Z,6a8ddebd485cab4c953c1ee8,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:42,dialogue,1,DialogueEvent,Unit 4 Dev - Anderson Base,2026-08-25T18:28:17.3900000Z,2026-08-25T18:28:17.3900000Z,6a8ddec0485cab4c953c1eec,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:43,dialogue,1,DialogueEvent,Unit 4 Dev - Anderson Base,2026-08-25T18:28:43.4510000Z,2026-08-25T18:28:43.4510000Z,6a8ddeda485cab4c953c1efa,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:44,dialogue,1,DialogueEvent,Unit 4 Dev - Anderson Base,2026-08-25T18:28:45.0850000Z,2026-08-25T18:28:45.0850000Z,6a8ddedc485cab4c953c1efe,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:45,dialogue,1,DialogueEvent,Unit 4 Dev - Anderson Base,2026-08-25T18:28:53.1900000Z,2026-08-25T18:28:53.1900000Z,6a8ddee4485cab4c953c1f08,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:46,dialogue,1,DialogueEvent,Unit 4 Dev - Anderson Base,2026-08-25T18:29:20.0200000Z,2026-08-25T18:29:20.0200000Z,6a8ddeff485cab4c953c1f34,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:82:47,dialogue,1,DialogueEvent,Unit 4 Dev - Anderson Base,2026-08-25T18:29:29.1570000Z,2026-08-25T18:29:29.1570000Z,6a8ddf08485cab4c953c1f44,wenyi082526-1.stratalog.logdata.json
