eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:18:163,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:20.2800000Z,2026-09-05T22:08:20.2800000Z,6a9c92d4485cab4c95401b06,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:164,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:22.9130000Z,2026-09-05T22:08:22.9130000Z,6a9c92d6485cab4c95401b0a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:166,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:23.5810000Z,2026-09-05T22:08:23.5810000Z,6a9c92d7485cab4c95401b0c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:167,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:31.7200000Z,2026-09-05T22:08:31.7200000Z,6a9c92df485cab4c95401b1c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:169,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:45.3910000Z,2026-09-05T22:08:45.3910000Z,6a9c92ed485cab4c95401b46,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:170,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:46.6220000Z,2026-09-05T22:08:46.6220000Z,6a9c92ee485cab4c95401b4a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:173,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:47.0230000Z,2026-09-05T22:08:47.0230000Z,6a9c92ee485cab4c95401b4c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:174,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:47.6230000Z,2026-09-05T22:08:47.6230000Z,6a9c92ef485cab4c95401b4e,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:175,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:49.3910000Z,2026-09-05T22:08:49.3910000Z,6a9c92f1485cab4c95401b50,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:176,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:50.0320000Z,2026-09-05T22:08:50.0320000Z,6a9c92f1485cab4c95401b54,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:179,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:48.6370000Z,2026-09-05T21:37:48.6370000Z,6a9c8bac485cab4c95400288,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:2,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:36:30.8250000Z,2026-09-05T21:36:30.8250000Z,6a9c8b5e485cab4c954001e0,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:209,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:16.8080000Z,2026-09-05T21:41:16.8080000Z,6a9c8c7c485cab4c95400870,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:21,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:06.0230000Z,2026-09-05T21:37:06.0230000Z,6a9c8b81485cab4c9540023e,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:210,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:18.2090000Z,2026-09-05T21:41:18.2090000Z,6a9c8c7d485cab4c95400872,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:22,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:08.0890000Z,2026-09-05T21:37:08.0890000Z,6a9c8b83485cab4c95400242,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:231,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:48:10.6110000Z,2026-09-05T21:48:10.6110000Z,6a9c8e1a485cab4c95400aee,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:24,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:12.1570000Z,2026-09-05T21:37:12.1570000Z,6a9c8b87485cab4c9540024c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:243,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:53:57.0230000Z,2026-09-05T21:53:57.0230000Z,6a9c8f74485cab4c95400c3e,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:25,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:14.4920000Z,2026-09-05T21:37:14.4920000Z,6a9c8b8a485cab4c95400252,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:269,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:39.8000000Z,2026-09-05T21:37:39.8000000Z,6a9c8ba3485cab4c95400270,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:271,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:40.4330000Z,2026-09-05T21:37:40.4330000Z,6a9c8ba4485cab4c95400272,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:273,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:40.7670000Z,2026-09-05T21:37:40.7670000Z,6a9c8ba4485cab4c95400274,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:274,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:53:08.4360000Z,2026-09-05T21:53:08.4360000Z,6a9c8f44485cab4c95400bd0,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:276,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:53:31.1800000Z,2026-09-05T21:53:31.1800000Z,6a9c8f5a485cab4c95400bf2,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:277,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:53:32.5800000Z,2026-09-05T21:53:32.5800000Z,6a9c8f5c485cab4c95400bf4,wenyi090326-3.stratalog.logdata.json
